tourney_slug,singles_winner_player_slug,tourney_round_name,winner_slug,loser_slug,year,ranking_points_winner,rank_number_winner,ranking_points_norm_winner,ranking_points_loser,rank_number_loser,ranking_points_norm_loser,avg_ranking_round_norm_loser,std_ranking_round_norm_loser,rounds_weights,diff_rank_mean,diff_rank_mean_weighted
us-open,marat-safin,Semi-Finals,marat-safin,todd-martin,2000,2442.0,7.0,4693.965160738335,982,32,1887.5814037039497,4792.697779685571,3119.979544662478,1.0,0.39384528098239197,0.39384528098239197
us-open,marat-safin,Quarter-Finals,marat-safin,nicolas-kiefer,2000,2442.0,7.0,4693.965160738335,1477,14,2839.060828177937,3169.480598413816,1932.2877945875562,1.0,0.8957495526550188,0.8957495526550188
us-open,marat-safin,Round of 16,marat-safin,juan-carlos-ferrero,2000,2442.0,7.0,4693.965160738335,1619,12,3112.0104812593636,1960.9359917208542,1005.7004458994704,0.5,1.587002581623464,0.793501290811732
us-open,marat-safin,Round of 32,marat-safin,sebastien-grosjean,2000,2442.0,7.0,4693.965160738335,1028,28,1976.001713857088,1426.5772943695285,530.5348443151503,0.5,1.3851347008367856,0.6925673504183928
us-open,marat-safin,Round of 64,marat-safin,gianluca-pozzi,2000,2442.0,7.0,4693.965160738335,807,49,1551.1997889909242,931.8295297386652,414.8687942994836,0.25,1.6646819396525923,0.41617048491314806
us-open,marat-safin,Round of 128,marat-safin,thierry-guardiola,2000,2442.0,7.0,4693.965160738335,273,141,524.75531895232,896.583354269583,380.32793217071907,0.25,0.5852833609428549,0.14632084023571373
australian-open,andre-agassi,Finals,andre-agassi,arnaud-clement,2001,2765.0,6.0,5314.829512465805,1360,18,2614.165691484085,6669.908109750534,3759.480494370115,1.0,0.3919342888191393,0.3919342888191393
australian-open,andre-agassi,Semi-Finals,andre-agassi,patrick-rafter,2001,2765.0,6.0,5314.829512465805,1535,15,2950.5473061971106,4792.697779685571,3119.979544662478,1.0,0.6156339168105618,0.6156339168105618
australian-open,andre-agassi,Quarter-Finals,andre-agassi,todd-martin,2001,2765.0,6.0,5314.829512465805,730,54,1403.191878517193,3169.480598413816,1932.2877945875562,1.0,0.4427198195248231,0.4427198195248231
australian-open,andre-agassi,Round of 16,andre-agassi,andrew-ilie,2001,2765.0,6.0,5314.829512465805,775,49,1489.690008014828,1960.9359917208542,1005.7004458994704,0.5,0.7596831382076495,0.37984156910382477
australian-open,andre-agassi,Round of 32,andre-agassi,david-prinosil,2001,2765.0,6.0,5314.829512465805,945,39,1816.4607194503385,1426.5772943695285,530.5348443151503,0.5,1.273299895224477,0.6366499476122385
australian-open,andre-agassi,Round of 64,andre-agassi,paul-goldstein,2001,2765.0,6.0,5314.829512465805,522,80,1003.3783021725679,931.8295297386652,414.8687942994836,0.25,1.0767831133812307,0.26919577834530767
australian-open,andre-agassi,Round of 128,andre-agassi,jiri-vanek,2001,2765.0,6.0,5314.829512465805,532,78,1022.600108727598,896.583354269583,380.32793217071907,0.25,1.1405521905553073,0.28513804763882683
roland-garros,gustavo-kuerten,Finals,gustavo-kuerten,alex-corretja,2001,4150.0,1.0,7977.049720337466,1825,13,3507.979696292982,6669.908109750534,3759.480494370115,1.0,0.5259412331580362,0.5259412331580362
roland-garros,gustavo-kuerten,Semi-Finals,gustavo-kuerten,juan-carlos-ferrero,2001,4150.0,1.0,7977.049720337466,2830,4,5439.7712550735005,4792.697779685571,3119.979544662478,1.0,1.1350123678005797,1.1350123678005797
roland-garros,gustavo-kuerten,Quarter-Finals,gustavo-kuerten,yevgeny-kafelnikov,2001,4150.0,1.0,7977.049720337466,2605,7,5007.280607585325,3169.480598413816,1932.2877945875562,1.0,1.5798426436468,1.5798426436468
roland-garros,gustavo-kuerten,Round of 16,gustavo-kuerten,michael-russell,2001,4150.0,1.0,7977.049720337466,326,122,626.6308936939791,1960.9359917208542,1005.7004458994704,0.5,0.3195570362008951,0.15977851810044755
roland-garros,gustavo-kuerten,Round of 32,gustavo-kuerten,karim-alami,2001,4150.0,1.0,7977.049720337466,375,109,720.8177458136264,1426.5772943695285,530.5348443151503,0.5,0.5052777362001892,0.2526388681000946
roland-garros,gustavo-kuerten,Round of 64,gustavo-kuerten,agustin-calleri,2001,4150.0,1.0,7977.049720337466,590,74,1134.0865867467721,931.8295297386652,414.8687942994836,0.25,1.2170537105266783,0.3042634276316696
roland-garros,gustavo-kuerten,Round of 128,gustavo-kuerten,guillermo-coria,2001,4150.0,1.0,7977.049720337466,1132,25,2175.9085020294006,896.583354269583,380.32793217071907,0.25,2.4268892475725714,0.6067223118931429
wimbledon,goran-ivanisevic,Finals,goran-ivanisevic,patrick-rafter,2001,321.0,125.0,617.0199904164641,2120,10,4075.022989666368,6669.908109750534,3759.480494370115,1.0,0.6109563913945406,0.6109563913945406
wimbledon,goran-ivanisevic,Semi-Finals,goran-ivanisevic,tim-henman,2001,321.0,125.0,617.0199904164641,1995,11,3834.7504077284925,4792.697779685571,3119.979544662478,1.0,0.8001235596332709,0.8001235596332709
wimbledon,goran-ivanisevic,Quarter-Finals,goran-ivanisevic,marat-safin,2001,321.0,125.0,617.0199904164641,3590,3,6900.628553255784,3169.480598413816,1932.2877945875562,1.0,2.177211167252212,2.177211167252212
wimbledon,goran-ivanisevic,Round of 16,goran-ivanisevic,greg-rusedski,2001,321.0,125.0,617.0199904164641,880,40,1691.5189768426433,1960.9359917208542,1005.7004458994704,0.5,0.862607950480944,0.431303975240472
wimbledon,goran-ivanisevic,Round of 32,goran-ivanisevic,andy-roddick,2001,321.0,125.0,617.0199904164641,962,33,1849.1377905938898,1426.5772943695285,530.5348443151503,0.5,1.2962058192655523,0.6481029096327762
wimbledon,goran-ivanisevic,Round of 64,goran-ivanisevic,carlos-moya,2001,321.0,125.0,617.0199904164641,1230,22,2364.2822062686946,931.8295297386652,414.8687942994836,0.25,2.5372475660132445,0.6343118915033111
wimbledon,goran-ivanisevic,Round of 128,goran-ivanisevic,fredrik-jonsson,2001,321.0,125.0,617.0199904164641,193,197,370.98086651207973,896.583354269583,380.32793217071907,0.25,0.4137717533405532,0.1034429383351383
us-open,lleyton-hewitt,Finals,lleyton-hewitt,pete-sampras,2001,3145.0,4.0,6045.258161556947,2015,10,3873.194020838553,6669.908109750534,3759.480494370115,1.0,0.5806967588018865,0.5806967588018865
us-open,lleyton-hewitt,Semi-Finals,lleyton-hewitt,yevgeny-kafelnikov,2001,3145.0,4.0,6045.258161556947,2575,7,4949.615187920234,4792.697779685571,3119.979544662478,1.0,1.0327409353662518,1.0327409353662518
us-open,lleyton-hewitt,Quarter-Finals,lleyton-hewitt,andy-roddick,2001,3145.0,4.0,6045.258161556947,1342,18,2579.566439685031,3169.480598413816,1932.2877945875562,1.0,0.8138767093182363,0.8138767093182363
us-open,lleyton-hewitt,Round of 16,lleyton-hewitt,tommy-haas,2001,3145.0,4.0,6045.258161556947,1580,15,3037.045435694746,1960.9359917208542,1005.7004458994704,0.5,1.5487733656362404,0.7743866828181202
us-open,lleyton-hewitt,Round of 32,lleyton-hewitt,albert-portas,2001,3145.0,4.0,6045.258161556947,1225,25,2354.6713029911793,1426.5772943695285,530.5348443151503,0.5,1.6505739382539515,0.8252869691269757
us-open,lleyton-hewitt,Round of 64,lleyton-hewitt,james-blake,2001,3145.0,4.0,6045.258161556947,413,95,793.8606107227406,931.8295297386652,414.8687942994836,0.25,0.8519375973686749,0.21298439934216873
us-open,lleyton-hewitt,Round of 128,lleyton-hewitt,magnus-gustafsson,2001,3145.0,4.0,6045.258161556947,505,81,970.7012310290169,896.583354269583,380.32793217071907,0.25,1.0826670229895303,0.2706667557473826
australian-open,thomas-johansson,Finals,thomas-johansson,marat-safin,2002,1375.0,18.0,2642.99840131663,1920,11,3690.5868585657677,6669.908109750534,3759.480494370115,1.0,0.5533189959799614,0.5533189959799614
australian-open,thomas-johansson,Semi-Finals,thomas-johansson,jiri-novak,2002,1375.0,18.0,2642.99840131663,1196,24,2298.9280639815925,4792.697779685571,3119.979544662478,1.0,0.4796730713390436,0.4796730713390436
australian-open,thomas-johansson,Quarter-Finals,thomas-johansson,jonas-bjorkman,2002,1375.0,18.0,2642.99840131663,570,64,1095.6429736367122,3169.480598413816,1932.2877945875562,1.0,0.34568533853308103,0.34568533853308103
australian-open,thomas-johansson,Round of 16,thomas-johansson,adrian-voinea,2002,1375.0,18.0,2642.99840131663,386,107,741.9617330241595,1960.9359917208542,1005.7004458994704,0.5,0.3783712146427777,0.18918560732138884
australian-open,thomas-johansson,Round of 32,thomas-johansson,younes-el-aynaoui,2002,1375.0,18.0,2642.99840131663,1198,23,2302.7724252925987,1426.5772943695285,530.5348443151503,0.5,1.6141939412475381,0.8070969706237691
australian-open,thomas-johansson,Round of 64,thomas-johansson,markus-hipfl,2002,1375.0,18.0,2642.99840131663,520,75,999.533940861562,931.8295297386652,414.8687942994836,0.25,1.072657507582835,0.26816437689570877
australian-open,thomas-johansson,Round of 128,thomas-johansson,jacobo-diaz,2002,1375.0,18.0,2642.99840131663,464,89,891.8918241533937,896.583354269583,380.32793217071907,0.25,0.9947673240933507,0.24869183102333767
roland-garros,albert-costa,Finals,albert-costa,juan-carlos-ferrero,2002,1295.0,22.0,2489.22394887639,1955,11,3757.8631815083722,6669.908109750534,3759.480494370115,1.0,0.5634055401775127,0.5634055401775127
roland-garros,albert-costa,Semi-Finals,albert-costa,alex-corretja,2002,1295.0,22.0,2489.22394887639,1395,20,2681.4420144266905,4792.697779685571,3119.979544662478,1.0,0.5594848950819112,0.5594848950819112
roland-garros,albert-costa,Quarter-Finals,albert-costa,guillermo-canas,2002,1295.0,22.0,2489.22394887639,1620,17,3113.932661914866,3169.480598413816,1932.2877945875562,1.0,0.982474120041388,0.982474120041388
roland-garros,albert-costa,Round of 16,albert-costa,gustavo-kuerten,2002,1295.0,22.0,2489.22394887639,2615,7,5026.502414140355,1960.9359917208542,1005.7004458994704,0.5,2.563317943758714,1.281658971879357
roland-garros,albert-costa,Round of 32,albert-costa,andrea-gaudenzi,2002,1295.0,22.0,2489.22394887639,564,69,1084.109889703694,1426.5772943695285,530.5348443151503,0.5,0.7599377152450847,0.37996885762254234
roland-garros,albert-costa,Round of 64,albert-costa,nikolay-davydenko,2002,1295.0,22.0,2489.22394887639,482,79,926.4910759524479,931.8295297386652,414.8687942994836,0.25,0.9942709974133204,0.2485677493533301
roland-garros,albert-costa,Round of 128,albert-costa,richard-gasquet,2002,1295.0,22.0,2489.22394887639,109,294,209.5176914498274,896.583354269583,380.32793217071907,0.25,0.23368456535813625,0.05842114133953406
wimbledon,lleyton-hewitt,Finals,lleyton-hewitt,david-nalbandian,2002,4260.0,1.0,8188.489592442796,1084,32,2083.643830565256,6669.908109750534,3759.480494370115,1.0,0.3123946831470198,0.3123946831470198
wimbledon,lleyton-hewitt,Semi-Finals,lleyton-hewitt,tim-henman,2002,4260.0,1.0,8188.489592442796,2605,5,5007.280607585325,4792.697779685571,3119.979544662478,1.0,1.0447728685938198,1.0447728685938198
wimbledon,lleyton-hewitt,Quarter-Finals,lleyton-hewitt,sjeng-schalken,2002,4260.0,1.0,8188.489592442796,1235,23,2373.89310954621,3169.480598413816,1932.2877945875562,1.0,0.7489849001550088,0.7489849001550088
wimbledon,lleyton-hewitt,Round of 16,lleyton-hewitt,mikhail-youzhny,2002,4260.0,1.0,8188.489592442796,643,61,1235.9621614884313,1960.9359917208542,1005.7004458994704,0.5,0.6302919456355078,0.3151459728177539
